TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averageloss	Stdloss	Maxloss	Minloss
4352000	397.0	240	962	12313.81	9.9266162109375	9.600304357154517	64.68004	0.81984913
4384000	338.26	240	955	12372.92	10.4282998046875	10.77074742067606	81.46105	0.9845363
4416000	410.3	240	957	12429.82	10.1061630859375	9.077365824538527	65.633385	0.743096
4448000	443.58	240	1395	12487.01	10.811671875	10.519196366049073	90.71971	1.0424103
4480000	463.04	240	954	12543.97	10.9515087890625	10.726738641124804	62.050755	0.93588704
4512000	464.95	240	1256	12600.26	10.4396328125	10.621057356732427	62.801895	0.908437
4544000	431.26	240	1406	12656.83	10.652705078125	10.180812222018439	64.7018	1.077289
4576000	501.74	240	1420	12712.76	10.470041015625	10.497699152671503	91.7681	0.7952771
4608000	506.26	240	1397	12769.27	10.849470703125	10.244240760056355	67.09754	0.9752464
4640000	582.5	240	1402	12825.75	10.177994140625	9.664493649436581	66.68453	1.3758717
4672000	499.6	240	1274	12881.76	9.8723984375	9.31859699740256	55.54066	1.2324754
4704000	557.59	240	1399	12937.99	10.2650703125	10.054291683156999	69.84524	1.0961577
4736000	554.22	240	1395	12995.04	11.0965546875	9.83758815081217	76.27493	0.7281884
4768000	511.15	240	1251	13051.93	10.7235	9.091299068340014	55.47145	1.292002
4800000	571.92	240	1250	13108.3	10.15949609375	8.894500144049692	58.691654	1.1944814
4832000	502.53	240	962	13164.56	10.268701171875	9.521378904864568	82.7505	0.83862305
4864000	520.51	240	1627	13221.71	9.40328515625	7.832803616841162	55.93235	1.6799604
4896000	496.88	240	1415	13279.1	9.6505546875	8.376848210245903	54.082714	1.5514686
4928000	540.87	240	1378	13335.48	9.5033583984375	8.240247550134644	65.10226	1.0455083
4960000	525.48	240	1399	13393.71	9.1883251953125	7.9186148370469445	70.265305	1.4321852
4992000	528.26	240	1401	13451.75	9.33612109375	7.833293827471302	57.74094	1.4027915
5024000	600.67	240	1394	13509.0	9.1906875	7.401398727605479	43.5884	1.336638
5056000	574.09	240	1408	13566.49	8.7108642578125	7.142671889338751	46.21004	1.3015057
5088000	527.33	240	1396	13625.65	8.3856904296875	7.012431483622496	65.505905	1.3473945
5120000	556.46	240	1387	13682.93	8.39180078125	6.933146156327588	43.324486	0.61616635
5152000	562.21	253	1397	13740.8	8.2599892578125	6.930614826622527	44.974022	1.1840212
5184000	560.17	240	1403	13798.62	8.2955107421875	6.717095145038516	43.037525	1.4896173
5216000	484.12	240	1394	13855.67	8.69980859375	7.493594660608485	60.127842	1.3381937
5248000	585.67	240	1399	13912.67	8.06924951171875	7.053464352713495	50.15024	0.8646905
5280000	581.91	240	1404	13969.4	7.88577197265625	6.876773066817023	59.69553	0.76933944
5312000	554.04	241	1417	14025.12	7.771064453125	6.845416463773406	64.51204	1.1688635
5344000	560.61	240	1395	14080.69	8.400533203125	7.02834439964349	45.6409	1.0849805
5376000	516.41	240	1383	14136.03	7.7691376953125	6.775776304693802	71.31128	1.0122283
5408000	548.21	240	1618	14191.29	7.93377001953125	6.994219990910351	48.967133	1.109067
5440000	533.63	240	1618	14246.8	8.05275439453125	6.786633807529326	44.327847	1.0453225
5472000	590.79	250	1401	14303.02	8.31748828125	6.982879733677217	53.416542	1.1936513
5504000	554.0	240	1425	14358.2	8.329291015625	7.105563401307457	47.222748	0.79740024
5536000	581.54	253	1401	14412.98	8.2573779296875	6.888016654850654	45.739532	1.0867586
5568000	564.65	241	1618	14469.1	8.50644140625	6.999828122889876	43.93546	0.96960735
5600000	526.27	240	1404	14524.62	8.2156484375	7.095044485413745	61.043957	1.3513228
5632000	552.61	240	1435	14580.04	8.5193359375	7.469037651364465	49.24014	1.2265745
5664000	535.92	240	1399	14635.68	8.381828125	7.220688862999845	51.152214	1.076633
5696000	514.98	240	1082	14691.43	8.2056142578125	7.2984009378767345	55.625637	1.2980529
5728000	562.52	257	1403	14748.12	8.856455078125	7.538782540138692	49.305965	1.0862327
5760000	562.15	240	1252	14803.31	8.50609765625	7.016792079985697	67.84444	0.67943704
5792000	508.14	240	959	14858.56	8.2637294921875	6.698884293764896	46.61922	1.136843
5824000	524.53	257	1409	14914.14	8.52317578125	7.8043242220258895	63.695457	0.6541979
5856000	514.06	253	1391	14969.26	8.495650390625	7.663247312660606	70.87709	1.243268
5888000	513.28	257	963	15024.35	8.2542998046875	7.022630828258025	45.209343	1.0486532
5920000	567.23	257	1428	15080.18	8.374857421875	7.268785468529114	60.254776	1.2845573
5952000	558.46	253	1616	15135.56	8.0257861328125	7.2806051216571275	47.64562	1.3358814
5984000	507.62	253	960	15191.35	8.136591796875	7.236194290682085	67.84396	0.9651229
6016000	555.44	253	1233	15246.95	8.12644140625	7.357025235276823	53.829445	1.0843835
6048000	609.52	253	1618	15301.97	7.7035908203125	6.91010328025204	46.32708	1.0242244
6080000	568.88	250	1410	15357.29	7.982654296875	7.229292356015906	55.506042	1.0572412
6112000	595.9	257	1418	15412.32	7.69283056640625	6.624415658192049	46.73785	0.9725244
6144000	540.89	256	1423	15467.3	7.7230400390625	6.833959892514734	58.809387	1.1919816
6176000	582.78	257	1621	15522.73	8.0881689453125	7.316151331984598	51.2891	1.1767906
6208000	643.0	240	1424	15577.63	7.9751044921875	7.234455048153247	57.599365	0.8470719
6240000	597.27	240	1622	15632.46	7.83702099609375	6.884795862078991	49.244396	0.96678716
6272000	555.38	253	960	15688.03	7.99175390625	6.818326063815077	52.24552	1.0266603
6304000	626.13	257	1406	15743.14	8.331171875	6.97701583773464	44.29672	1.0443515
6336000	596.1	240	1400	15798.58	8.086685546875	7.018548527829668	55.726967	1.1967156
6368000	574.69	250	1372	15854.67	8.637572265625	7.524196126082175	54.644928	1.0927896
6400000	517.49	240	959	15911.03	8.03930712890625	6.7064031902354335	56.266228	1.0837631
6432000	611.57	257	1417	15968.53	8.093083984375	6.82527872599354	43.983418	1.1494672
6464000	601.17	250	1394	16025.81	8.3678828125	7.147950700637911	57.62587	1.1850052
6496000	582.38	240	1413	16082.26	8.857484375	7.171984884779109	49.108727	1.4098829
6528000	575.17	240	1406	16139.49	8.6710654296875	7.186912475987167	70.25124	1.4215267
6560000	593.24	253	1421	16197.0	9.2484453125	7.890582301864673	53.881123	1.0303874
6592000	626.19	253	1406	16254.07	9.3403193359375	7.8333327238474935	56.329903	1.4969056
6624000	580.95	240	1613	16312.79	9.78430078125	7.980096823504086	50.208595	1.2302496
6656000	593.23	240	1397	16371.68	9.45181640625	8.112398400750545	54.150482	1.480977
6688000	561.15	240	1422	16431.71	9.94218359375	8.583262236760566	75.10617	1.3317466
6720000	610.72	240	1409	16491.23	10.0985	8.260623368578184	58.673187	1.6398636
6752000	601.18	240	1426	16551.02	10.450857421875	9.11723513805035	58.112305	1.536466
6784000	592.87	240	1620	16611.29	10.284705078125	8.52875925179038	66.03318	1.565583
6816000	618.44	240	1424	16669.57	9.3616533203125	7.696957089493224	64.653244	1.3722587
6848000	598.26	240	1413	16727.8	10.3747861328125	8.764868617098605	66.99949	1.3286178
6880000	644.8	240	1410	16784.89	10.823263671875	8.749327206277064	57.261936	1.1208076
6912000	564.18	240	1380	16842.78	10.815330078125	9.167194823799699	66.423965	1.4024681
6944000	597.49	240	1609	16901.28	9.984931640625	8.243207904845056	67.035164	1.3725321
6976000	557.49	240	1227	16957.7	10.74291015625	8.402254626735612	59.938248	1.5802698
7008000	510.64	240	1428	17015.4	9.595453125	8.070530642017909	58.691006	1.4117223
7040000	609.04	256	1415	17072.39	9.712201171875	8.086028652867858	61.348907	1.5207554
7072000	638.96	240	1418	17132.36	9.9333125	8.195262541554115	78.74913	1.1579685
7104000	528.35	240	1404	17189.64	9.498763671875	7.7889592834184205	62.013023	1.7220601
7136000	578.63	240	1384	17245.96	9.7159375	8.062244424243785	58.65341	1.4819812
7168000	518.79	240	1388	17304.38	9.852841796875	7.841599804886755	56.20361	1.5061014
7200000	565.1	250	1394	17362.38	10.002185546875	8.064634891766644	59.11811	1.1583786
7232000	534.09	256	1351	17419.44	9.8325068359375	7.904406899793305	65.30659	1.5215567
7264000	582.25	240	1404	17477.2	10.1496484375	7.979561293548662	49.38823	1.2936811
7296000	582.73	256	1400	17534.8	9.90051953125	8.139883483502697	53.91122	1.5208073
7328000	628.5	240	1683	17592.63	9.8084169921875	7.905924894501592	56.438595	1.5763938
7360000	557.4	256	1409	17652.4	9.97648828125	8.140595609351935	66.98412	1.5547569
7392000	601.33	256	1398	17717.7	10.52744140625	8.790239171234195	85.46563	1.5859685
7424000	590.44	257	1597	17786.22	9.5785244140625	7.359055858260623	56.195026	1.6119263
7456000	613.56	241	1429	17844.7	9.40046484375	7.2702551107234195	56.80316	1.123326
7488000	596.73	240	1399	17903.05	9.7874609375	8.026343345509211	50.477726	1.6811
7520000	557.59	257	1420	17966.86	9.6897734375	7.586862617380125	57.78503	1.6710253
7552000	642.61	257	1616	18035.29	9.2832939453125	7.270496888108817	67.53786	1.4844271
7584000	601.24	257	1616	18105.19	9.6156708984375	7.5304486088147495	70.278534	1.6376677
7616000	611.99	257	1403	18172.38	9.18140625	7.518449183508525	56.49733	1.2009642
7648000	585.46	240	1407	18235.86	8.7872666015625	6.802025203937427	46.98819	1.345487
7680000	573.89	253	1391	18297.69	9.20607421875	7.385143183699961	56.929497	1.6351895
7712000	633.7	256	1400	18358.91	8.8749296875	7.222933852493736	56.225075	1.206103
7744000	674.05	256	1400	18419.58	8.947955078125	7.676369228434104	85.72425	1.5228958
7776000	607.74	257	1414	18479.27	8.3251787109375	6.39936337165659	42.397892	1.2925115
7808000	596.38	256	1395	18538.05	8.5653720703125	6.716091334437017	56.495884	1.6423485
7840000	597.77	250	1413	18595.86	8.7587607421875	6.902109901598931	50.84693	1.684055
7872000	682.21	241	1424	18653.29	8.3869189453125	6.409614969910439	56.598087	0.9660815
7904000	599.79	240	1391	18710.01	8.841109375	7.026061418924545	54.510212	1.1559038
7936000	604.24	256	1615	18766.44	8.665431640625	6.896036848708829	50.93749	1.6020961
7968000	655.68	256	1426	18822.59	8.5326357421875	6.515908417097343	58.11037	1.4122434
8000000	632.93	253	1409	18879.12	8.6707734375	6.92793343781174	59.32807	1.3085566
8032000	574.39	256	1396	18934.39	8.2194296875	6.0660260364591245	41.653496	1.2874882
8064000	599.29	256	1419	18989.69	9.1586630859375	7.214653599619319	57.29166	1.3885257
8096000	645.26	240	1398	19044.66	8.52975	6.572119735100693	50.209236	1.6631912
8128000	627.56	256	1612	19098.85	9.2639912109375	7.058048375790577	69.1107	1.5118165
8160000	668.38	257	1420	19154.25	8.9538056640625	7.2492337957193795	56.662495	0.8304714
8192000	602.06	240	1422	19208.54	9.2824609375	7.016241760194698	49.489517	1.2592219
8224000	685.96	257	1617	19263.82	9.363474609375	7.089932342766044	49.930458	1.6117584
8256000	637.44	256	1420	19318.02	9.2712607421875	6.757595552876038	56.791943	1.3255415
8288000	649.45	256	1582	19372.93	9.206443359375	6.9253877937448385	76.80291	1.9274207
8320000	649.79	257	1621	19427.5	9.123484375	6.654644172493373	45.28084	1.5488894
8352000	680.77	257	1631	19482.25	8.662048828125	6.625784741258955	57.05139	1.6145861
