TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time
16192000	640.24	218	1321	12791.49
16224000	600.05	217	1047	12816.81
16256000	652.79	217	1394	12841.63
16288000	596.15	218	1639	12868.06
16320000	631.35	215	1356	12893.56
16352000	621.66	217	1864	12919.08
16384000	619.46	217	1348	12945.37
16416000	656.59	217	1316	12970.52
16448000	698.75	218	2288	12995.33
16480000	635.12	215	1408	13020.92
16512000	651.36	215	1893	13047.21
16544000	676.48	218	1364	13072.75
16576000	649.4	215	1501	13097.89
16608000	671.44	217	1642	13122.83
16640000	683.04	222	1621	13149.67
16672000	692.27	217	1793	13175.47
16704000	629.06	217	1854	13200.19
16736000	642.33	218	1319	13225.07
16768000	639.3	215	1296	13250.22
16800000	702.4	222	1550	13275.62
16832000	645.33	218	1298	13301.83
16864000	628.16	218	1379	13327.91
16896000	650.42	218	1289	13353.81
16928000	596.85	215	1302	13381.4
16960000	644.51	215	1800	13406.68
16992000	759.37	215	2896	13432.38
17024000	687.69	217	1304	13457.99
17056000	672.81	218	1391	13485.04
17088000	665.56	217	1314	13510.12
17120000	658.52	222	1813	13536.3
17152000	677.99	218	1870	13562.07
17184000	643.67	217	1304	13587.34
17216000	653.68	215	1632	13612.63
17248000	653.99	217	1347	13638.51
17280000	649.8	218	1658	13664.64
17312000	667.2	217	1363	13690.94
17344000	625.25	218	1285	13715.97
17376000	689.87	218	1519	13740.99
17408000	664.84	223	1812	13766.96
17440000	649.78	218	1296	13792.83
17472000	702.85	223	1395	13818.05
17504000	641.04	217	1306	13843.43
17536000	636.38	217	1631	13868.65
17568000	682.42	215	1551	13893.63
17600000	670.16	217	1766	13919.23
17632000	663.67	217	1513	13944.96
17664000	644.72	215	1387	13970.7
17696000	662.4	215	1818	13997.33
17728000	658.76	218	1322	14023.95
17760000	666.71	215	1888	14048.49
17792000	645.47	218	1673	14074.22
17824000	698.13	223	1310	14099.55
17856000	729.27	223	1869	14124.24
17888000	556.2	222	1290	14148.96
17920000	617.32	217	1867	14173.96
17952000	654.35	218	1832	14198.48
17984000	683.95	215	1361	14223.73
18016000	710.29	215	1889	14249.12
18048000	686.71	217	1595	14273.91
18080000	700.06	217	1577	14298.52
18112000	673.19	218	1851	14324.02
18144000	710.23	226	1657	14348.54
18176000	673.48	218	1821	14374.25
18208000	664.49	217	1863	14399.55
18240000	620.26	215	1326	14423.97
18272000	680.47	215	1772	14448.99
18304000	666.29	222	1664	14473.13
18336000	635.18	215	1313	14497.96
18368000	632.57	217	1819	14522.58
18400000	673.28	215	1502	14548.55
18432000	646.16	217	1785	14572.89
18464000	627.3	223	1393	14597.73
18496000	654.57	217	1287	14622.97
18528000	657.16	215	1297	14647.13
18560000	705.67	222	1877	14672.45
18592000	581.34	217	1653	14696.71
18624000	608.22	215	1315	14721.3
18656000	674.14	217	1300	14746.32
18688000	602.37	217	1874	14771.62
18720000	696.88	217	1642	14796.06
18752000	662.01	218	1819	14821.03
18784000	694.93	217	1768	14846.35
18816000	640.13	215	1377	14870.25
18848000	600.21	215	1877	14893.43
18880000	662.55	217	1773	14918.3
18912000	644.41	215	2979	14943.27
18944000	643.08	215	1282	14967.53
18976000	656.41	217	2926	14992.14
19008000	614.59	222	1386	15016.71
19040000	650.41	217	1301	15041.32
19072000	652.25	222	1339	15065.76
19104000	633.22	217	1496	15089.99
19136000	672.39	217	1640	15114.18
19168000	663.69	215	1507	15139.12
19200000	689.78	218	2273	15163.51
19232000	661.6	215	1396	15187.88
19264000	700.86	218	1879	15212.38
19296000	642.17	215	1311	15237.6
19328000	638.52	217	1882	15262.21
19360000	678.08	215	1312	15286.27
19392000	735.43	217	1812	15310.73
19424000	654.93	215	1792	15335.16
19456000	706.06	223	1296	15359.74
19488000	702.13	217	1345	15384.33
19520000	670.02	215	1771	15408.84
19552000	691.95	215	1377	15432.79
19584000	583.56	217	1299	15457.24
19616000	632.52	215	1526	15481.47
19648000	693.27	215	1310	15505.85
19680000	659.94	218	1534	15530.22
19712000	662.99	215	1323	15555.07
19744000	638.84	217	1308	15579.42
19776000	590.28	218	1301	15604.55
19808000	606.21	217	1397	15629.41
19840000	664.12	215	1458	15653.36
19872000	644.49	215	1832	15678.34
19904000	646.01	218	1378	15702.69
19936000	696.21	215	3004	15728.24
19968000	659.49	218	1359	15752.34
20000000	709.61	217	1853	15776.5
