TotalEnvInteracts	AverageEpRet	MinEpRet	MaxEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
5760000	628.97	105	1084	8901.53	45.69038	2.8730729	53.7135	34.952232	5.8643947	6.25901	53.301186	0.59129035
5792000	614.9	111	1446	8950.98	43.81276	3.3635836	53.4005	30.751404	5.7961426	6.7758837	68.816925	0.5482304
5824000	627.4	111	1703	9000.56	43.068523	3.2363179	52.684784	32.2755	5.926965	7.17784	69.4402	0.57393503
5856000	611.33	113	1216	9050.07	44.716652	3.1439152	53.589424	32.92755	6.0249224	7.0732393	63.823517	0.6316606
5888000	584.73	108	1212	9099.51	47.180344	2.8610942	57.12513	36.34292	6.2073674	7.0096407	58.130226	0.8923497
5920000	548.03	105	1197	9149.25	48.791386	2.2277234	55.37147	39.871338	7.231536	7.7072206	54.228832	0.7929756
5952000	569.59	108	1212	9198.5	48.613945	2.3347213	55.71202	39.081493	7.5702643	7.688036	65.18469	0.83658993
5984000	605.45	111	1208	9248.23	48.29556	2.3379989	55.02229	40.56844	8.146925	7.653324	52.765617	0.8750404
6016000	566.84	105	1826	9298.06	48.282444	2.3831282	55.092106	41.283653	7.8899736	8.311064	69.11354	0.8386417
6048000	594.6	108	1459	9347.54	48.66243	2.282485	55.079666	41.372856	6.9957647	6.499184	45.07993	0.73049617
6080000	582.42	108	1524	9396.92	47.369366	2.6651895	54.49069	37.667	7.160887	7.355377	62.893303	0.7983498
6112000	605.73	108	1212	9446.27	45.6976	2.9804564	54.118896	36.615677	7.2199306	7.6090636	59.73411	0.75848556
6144000	594.53	111	1209	9495.53	45.37828	2.8685322	54.7802	35.579094	7.1664543	7.4145756	68.080574	0.5532893
6176000	615.91	108	1213	9544.94	47.096287	2.7373865	55.804955	35.666756	8.344126	8.911019	81.32021	0.6242032
6208000	616.3	105	1210	9594.31	47.748207	2.5862033	55.119904	38.924343	7.137015	7.5058227	68.84493	0.8851553
6240000	589.66	111	1222	9643.76	45.734398	2.932317	54.72917	35.330574	7.191301	7.805629	60.500755	0.55452794
6272000	634.07	105	1820	9693.12	44.320786	3.1685007	53.0612	34.762604	6.7449164	7.402802	69.0116	0.79057217
6304000	599.69	120	1216	9742.65	45.239117	3.1416469	53.589302	32.229336	6.769832	7.4771495	59.752174	0.6682927
6336000	637.22	108	1202	9792.3	47.655807	2.8228624	55.046394	38.255024	6.665857	7.275247	53.339878	0.68361926
6368000	588.47	108	1211	9841.81	48.95303	2.6714556	56.243713	39.53485	6.3550477	6.66876	62.000732	0.7062228
6400000	626.33	105	1215	9891.41	49.109413	2.6397653	56.734413	39.647682	6.3173847	6.5932574	55.992573	0.65892446
6432000	639.35	105	1218	9940.98	48.66293	2.6797848	56.430695	38.623688	6.822563	7.297429	61.866726	0.68636954
6464000	577.0	105	1808	9990.38	48.314793	2.6057477	56.11318	37.81247	7.301772	7.927522	58.488388	0.8093374
6496000	578.48	105	1220	10039.82	47.366062	2.7573874	55.672295	37.613102	7.5816183	7.6826773	55.950066	0.83157825
6528000	562.61	113	1207	10088.96	45.396923	3.017573	55.562973	35.86911	7.1745744	8.349239	67.851036	0.6106754
6560000	616.31	105	1212	10138.43	44.892582	2.965054	53.555134	34.018326	7.0082316	7.208081	54.2037	0.5802785
6592000	562.82	105	1207	10188.09	45.93338	2.862917	53.72744	35.06849	7.289993	7.238166	59.300865	0.76348937
6624000	598.08	111	1228	10237.52	48.537643	2.5654128	56.615715	40.03693	8.32147	7.5396185	64.07922	0.71258247
6656000	568.67	105	1211	10287.11	50.65182	2.127751	57.195824	43.525143	8.264393	7.25671	50.686707	0.6780794
6688000	554.13	108	1219	10336.63	50.89053	2.042219	58.516186	44.041733	8.410556	7.58249	76.665695	0.89116085
6720000	564.04	105	1538	10386.33	50.749367	2.295533	58.14744	40.801807	8.020977	7.601227	59.79861	0.75128317
6752000	590.54	111	1208	10436.04	50.366077	2.3597817	57.044754	43.034542	7.6305027	7.2672143	64.32211	0.8073163
6784000	616.98	111	1217	10485.61	50.20311	2.478463	57.180378	41.898865	7.7597766	7.7525887	68.902306	0.60808575
6816000	608.69	108	2001	10535.2	50.366142	2.4984841	56.539864	40.642723	7.4827857	6.843716	52.08397	0.7917024
6848000	589.7	108	1219	10584.64	48.61256	2.9331558	56.563293	39.093945	7.1715198	7.1027226	57.934525	0.6502148
6880000	628.45	111	1218	10634.04	46.77539	3.0374787	56.716255	34.892803	7.214455	7.3475275	60.563816	0.6816024
6912000	608.52	105	1215	10683.62	45.359146	3.195606	54.941387	34.94793	7.51026	7.8369393	75.96834	0.9062519
6944000	605.1	120	1209	10733.02	44.72616	3.1797028	55.950527	33.536964	7.7315264	7.2643294	56.96132	0.7506538
6976000	563.85	111	1101	10782.84	44.656975	3.4146323	54.680515	31.589462	7.599458	7.3949165	60.6037	0.7977019
7008000	566.39	105	1204	10832.14	43.026493	3.4822445	53.950676	32.309906	6.7503195	6.4135566	51.20079	0.71095335
7040000	626.75	105	1213	10881.75	41.75354	3.7230082	53.567234	26.617367	6.843872	6.5422974	58.70149	0.6215082
7072000	617.33	105	1207	10931.75	42.862053	3.575338	52.764812	29.045174	6.8522167	7.546099	71.90605	0.7887125
7104000	631.43	108	1799	10981.52	43.912056	3.5075588	53.767426	34.036034	6.7290564	7.170443	82.89072	1.0354023
7136000	600.1	105	1214	11030.98	44.779457	3.176923	53.70983	33.90171	7.073182	8.059194	76.258514	0.69594616
7168000	627.91	108	1694	11080.72	44.07276	3.3068974	53.71317	32.655205	7.1772795	7.7702446	69.20261	0.7364442
7200000	625.52	105	1222	11130.62	43.12339	3.3442626	54.527306	32.431915	7.3414025	8.191756	64.865776	0.6912041
