TotalEnvInteracts	AverageEpRet1	MinEpRet	AverageEpRet	time	Averagemean_Q	Stdmean_Q	Maxmean_Q	Minmean_Q	Averageloss	Stdloss	Maxloss	Minloss
8192000	876.64	217	2578	35630.86	64.0776328125	2.4073026309608956	70.20229	55.59989	15.7274375	13.117600295023477	105.78209	2.2594142
8208000	852.73	223	2329	35699.63	62.8610234375	2.4538649361772134	69.98541	54.615932	15.7174228515625	13.18490614301065	102.493195	2.098837
8224000	881.89	217	3012	35766.64	62.5780546875	2.364385408383117	70.848145	54.956932	16.335146484375	13.536448481784282	87.60087	2.5364118
8240000	843.43	223	2986	35834.37	64.257	2.298496451487363	70.9747	56.498383	16.116119140625	13.060608714757517	101.61146	2.2305293
8256000	793.45	215	1815	35900.51	64.83112109375	2.262554492610344	72.11331	56.811188	15.0778564453125	13.701570963761784	101.84663	2.3448133
8272000	814.39	217	2324	35969.16	64.570296875	2.275324066891352	71.199104	57.24772	14.43675	12.66221742034151	86.056145	2.0495703
8288000	812.77	217	3006	36038.74	64.57829296875	2.253970780055445	71.324646	58.272476	14.7080693359375	12.099359487179475	90.80043	2.0167246
8304000	845.38	215	2609	36105.79	64.036921875	2.4122700667628405	71.682205	55.967392	14.8069072265625	12.205452802948361	94.335434	2.438541
8320000	879.19	223	2609	36172.09	63.55478125	2.135343850384523	70.938156	57.03543	15.280904296875	12.898411360512581	152.8036	2.0312703
8336000	909.5	215	2992	36238.74	63.28415625	2.078601918958991	71.0865	55.6831	15.2503671875	13.068969689688625	110.00004	2.6341205
8352000	899.9	223	2992	36305.87	64.354375	2.265503983836985	71.53368	57.925934	14.74873046875	12.327872383343365	109.72194	1.8474813
8368000	810.12	215	1813	36371.42	66.70640625	2.2552720352819966	72.70055	58.94504	16.0967646484375	15.075564873330618	110.54586	1.4333004
8384000	821.64	215	2332	36436.87	67.104234375	2.1856594935796836	74.106995	60.421295	15.073169921875	14.200128190442507	106.86949	2.1592646
8400000	825.05	215	2966	36504.79	67.080296875	2.1338680995802553	73.47502	58.40516	15.746447265625	14.385358767684593	112.43576	2.6695938
8416000	872.28	215	2966	36571.6	67.9948984375	2.213082219474968	75.01492	57.70829	15.5861494140625	14.048213854437154	98.67782	2.2006564
8432000	782.32	231	2943	36637.52	67.57371875	2.2057721242373383	75.24553	59.476868	16.6938203125	15.518777436544413	134.93596	2.275135
8448000	841.2	223	2309	36706.82	67.012921875	2.100779710161206	72.80576	58.752247	15.8772265625	13.644309711377854	124.688675	2.4643035
8464000	834.33	217	2939	36774.44	66.996984375	2.0073249043152868	72.25006	60.2446	15.964173828125	13.492967496996352	107.73821	2.0977533
8480000	782.53	218	1888	36842.51	67.010046875	2.2114959542058292	73.091095	59.18923	16.1767978515625	14.999187998855138	159.89343	2.5388684
8496000	880.37	218	2314	36907.7	67.710921875	2.219969185280226	73.97536	60.49566	17.43279296875	15.709040490271835	129.64275	2.444847
8512000	865.08	223	2271	36974.74	68.8730546875	2.2984637362540656	76.573395	61.341316	17.32103515625	14.214404555766661	98.843605	2.0487816
8528000	901.56	223	2271	37040.65	69.983671875	2.2492206766664204	77.14777	62.043068	17.45653515625	16.162116198072578	152.57121	1.6685284
8544000	812.19	223	2571	37107.05	70.843140625	2.480985305465855	77.372055	62.218655	17.32890234375	15.452895157542486	121.617584	2.427492
8560000	798.86	223	2214	37173.62	70.46703125	2.347978893178663	77.77097	62.769104	17.356185546875	15.583885908206591	123.1663	1.8893287
8576000	816.78	223	2962	37243.24	69.859734375	2.466544703312206	78.38853	62.43081	17.17878125	15.355521706376505	112.06893	1.9488133
8592000	833.42	223	1834	37309.42	68.7428515625	2.253035495795062	76.74611	59.787636	15.1073740234375	14.04072091275943	136.81403	1.3735349
8608000	848.96	218	1682	37375.82	68.6092578125	2.271399322623061	75.446754	61.03801	16.3008232421875	14.786705916971501	116.62342	1.9745531
8624000	884.62	218	1810	37442.41	67.9930859375	2.3305176463609967	75.661804	60.04469	17.21390234375	14.792445284671498	119.92016	2.775651
8640000	821.3	223	2319	37510.13	68.216671875	2.3770726975368257	75.02336	60.26944	16.46517578125	15.530097291227767	116.037384	2.0531206
8656000	872.19	223	2330	37576.01	68.519078125	2.257690956936146	74.93793	60.51325	17.46746875	14.247939544018285	99.485504	2.6589828
8672000	887.74	218	2607	37643.89	67.285296875	2.255054760456218	74.36056	59.72165	17.20144921875	15.135154649028202	125.405	2.2181993
8688000	841.01	223	2302	37710.48	68.478140625	2.268605797758835	77.12348	60.74125	17.4458046875	15.783284769812651	143.08862	1.6379833
8704000	824.37	217	2302	37779.58	68.6307734375	2.3168470543904056	77.35246	59.81682	16.951697265625	14.251704941865729	103.45224	2.1720514
8720000	865.61	215	2316	37845.43	68.5128671875	2.2846329796189364	75.3242	61.93684	16.65633203125	15.472737112418088	115.25166	2.6758466
8736000	828.07	223	1882	37912.99	68.4852890625	2.058771369234877	74.30873	61.984695	15.8261884765625	13.618363062424207	107.33677	2.281723
8752000	906.0	223	2603	37981.08	68.58965625	2.1683373841998734	74.89073	59.72326	15.813576171875	13.65672625027682	97.21448	1.5766413
8768000	800.33	218	2308	38049.86	69.014390625	2.105410046723381	75.26929	61.44389	15.6793154296875	14.34448173514819	157.44427	1.7683172
8784000	860.95	215	2982	38117.5	68.677546875	2.291504776478766	76.38762	60.792557	16.3448466796875	15.616700295677061	136.51503	2.2829888
8800000	850.96	215	2982	38183.37	69.219484375	2.1333758413530304	75.04515	62.786385	15.149501953125	13.140241150755188	138.82225	1.391438
8816000	812.54	217	2954	38253.38	69.0299140625	2.2946404947180725	75.65253	61.344646	15.567359375	13.536192803923857	126.89639	2.3258746
8832000	877.27	217	2954	38319.48	68.0965234375	2.3699879268547974	74.953705	59.162247	16.654505859375	14.834527924743679	107.954735	2.3470674
8848000	924.53	223	2982	38385.44	67.0843984375	2.403690400002151	73.7784	58.64277	15.226380859375	13.425057029674027	108.84987	2.1684558
8864000	843.83	223	2996	38455.71	66.7074140625	2.4958696348918146	74.811646	56.87966	15.031099609375	12.110737745901362	103.08174	2.558581
8880000	777.07	217	2605	38526.61	67.445234375	2.5243325618492705	74.73542	58.460907	16.33088671875	14.43329592470133	134.41176	2.322385
8896000	826.14	215	2482	38596.08	66.607921875	2.5993148135614508	74.196724	57.564354	16.49644921875	14.31477656566808	106.35631	2.0850887
8912000	897.23	223	3010	38665.08	66.9720234375	2.6841937329659626	75.11193	58.002785	15.8725078125	13.715235597684789	149.45245	1.9096261
